variableName,metadata
sensorType,point spectrometer
makeModel,
serialNum,
calibrationDate,
foreoptic,
imageSize,N/A
shutterSpeed,N/A
focalLength,
FOV,
ISO,N/A
focus,N/A
whiteBalance,N/A
quant,
fileFormat,
sensorUnits,
accuracy,
precision,
sensitivity,
frameRate,
spectralResponseFunction,
integrationTime,
spectralRange,
spectralRes,
navSystem,
spatialPixels,N/A
Fnumber,N/A
weight,
lidarWavelength,N/A
lidarChannels,N/A
lidarMeasurementRange,N/A
minAngRes,N/A
angRes,N/A
