Column_or_Row_Name,Unit,Definition,Data_Type
project,N/A,Project name ,text
contact,N/A,List the person who should be contacted by users seeking further information for the data. Only one contact is allowed. Including the ORCID of this individual is strongly encouraged.,text
pilot,N/A,List the name and contact details of the Pilot in Command (PIC). Include FAA pilot license number if applicable. ,text
location_description,N/A,"Geographic place name, including Place, State, Country",text
location_id,N/A,Identifiers of any sites or plots within flight area,text
date_start,YYYY-MM-DD,Date of first flight in data package,datetime
date_end,YYYY-MM-DD,Date of last flight in data package,datetime
num_flights,N/A,Total number of flights for which data included,numeric
flight_time_avg,minutes,Average flight time of missions,numeric
flight_time_total,minutes,Total flight time of missions (alternative to using numFlights and flightTimeAvg),numeric
permits,N/A,"List land permits, waivers and Certificates of Waiver or Authorization (COA). Can include documents in the data package.",text
base_station,N/A,"Base station GPS coordinates, model and type of GNSS data collected. Self-deployed vs CORS network station. If CORS record ID of CORS station(s) (e.g. AB11) and provide raw base station data in data submission.",text
geo_ref,N/A,Geospatial reference system used,text
make_model,N/A,Manufacturer and model of airframe,text
airframe_type,N/A,Type of airframe,text
max_weight,kilograms,Maximum takeoff gross weight of system including airframe,numeric
platform_serial_num,N/A,Platform serial number,text
registration,N/A,"Platform registration details, e.g. FAA registration number",text
motor_type,N/A,Manufacturer and model of motor types,text
propellor_type,N/A,Manufacturer and model of propellor types,text
flight_controller,N/A,Manufacturer and model of flight controller,text
battery_type,N/A,"Battery type (cells, peak voltage, connectors)",text
gimbal_type,N/A,Manufacturer and model of gimbal types,text
navigation,N/A,GPS make/model and supported GNSS modes,text
imu,N/A,Inertial Measurement Unit model,text
radio_model,N/A,Manufacturer and model of radios,text
control_model,N/A,Manufacturer and model of handheld remote control,text
platform_images,N/A,Indicate if photos or diagrams showing the platform and payload configuration are included in the data package.,text
flight_identifier,N/A,Individual flight identifier,text
site_identifier,N/A,Site name,text
date_time_start,YYYY-MM-DD HH:MM:SS,Start of flight date and time,datetime
date_time_start,YYYY-MM-DD HH:MM:SS,End of flight date and time,datetime
flight_bound,N/A,Boundary of flight area,text
flight_height,m,"Flight height program setting, indicate AGL (above ground level) or AMSL (height above average mean sea level)",text
forward_overlap,percentage,Forward overlap program setting,numeric
side_overlap,percentage,Side overlap program setting,numeric
flight_speed,m/s,Flight speed program setting,numeric
weather_condition,N/A,"Summary of wind speed, temperature, cloud cover",text
brightness,N/A,Descriptor of light quality during flight,text
light_type,N/A,Descriptor of light type during flight,text
cloud_cover,percentage,Estimate of percentage cloud cover during flight,numeric
cloud_type,N/A,Dominant cloud cover type during flight,text
surface_wetness,N/A,Descriptor of surface moisture conditions,text
last_rain,N/A,Days since last rain event,numeric
sensor_type,N/A,Type of sensing system,text
make_model,N/A,Manufacturer and model of sensor,text
instrument_serial_num,N/A,Instrument serial number,text
calibration_date,YYYY-MM-DD,Date of last calibration,date
foreoptic,N/A,"Specifications of the foreoptic used for data collection. A foreoptic could be an optical lens, a fiber optic, a combined fiber optic+lens, etc. Include serial numbers if applicable. ",text
image_size,N/A,Image size in pixels,text
shutter_speed,s,Camera shutter speed. Can be fixed for all flights or a range of values if variable. ,numeric
focal_length,numeric,Instrument focal length,numeric
fov,degrees,The instrument field of view. For LiDAR specify horizontal and vertical FOV,numeric
iso,N/A,ISO light sensitivity setting. Can be fixed for all flights or a range of values if variable. ,numeric
focus,N/A,Camera focus setting. List all that were used,text
white_balance,N/A,Camera white balance settings used. List all settings used during campaign. ,text
quant,N/A,Image bit depth,text
file_format,N/A,Sensor output file format,text
sensor_units,N/A,The measurement units output by the sensor,text
accuracy,N/A,Instrument/sensor measurement accuracy as per manufacturer specifications,text
precision,N/A,Instrument/sensor measurement precision as per manufacturer specifications,text
sensitivity,N/A,Instrument sensitivity as per manufacturer specifications. The smallest difference between two features that is detectable by the sensor.,text
frame_rate,Hz,Measurement frame rate or speed,numeric
spectral_response_function,N/A,Indicate if spectral response functions are included in data package,text
integration_time,N/A,Measurement integration time. Can be fixed value or range. ,text
spectral_range,N/A,Instrument measurement wavelength range. Can be more than one if a co-aligned instrument,text
spectral_res,N/A,Instrument measurement resolution. Can be more than one if a co-aligned instrument,text
nav_system,N/A,Make/Model of GNSS Inertial Measurement Unit used with the sensing system,text
spatial_pixels,N/A,For each sensor plus combined,numeric
f_number,N/A,The fixed or selected aperture size for the data collection,text
weight,grams,Weight of sensor,numeric
lidar_wavelength,nanometers,Lidar beam wavelength,numeric
lidar_channels,N/A,The total number of LiDAR channels (laser beams) used for data collection,numeric
lidar_measurement_range,meters,Max measurement distance,numeric
min_ang_res,degrees,Angular resolution of LiDAR system (Vertical),numeric
ang_res,degrees,Angular Resolution (Horizontal/Azimuth):,numeric
